,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Hilo,US,overcast clouds,81.28,19.7297,-155.09,Hilo Hawaiian Hotel
2,Tondano,ID,scattered clouds,78.89,1.3038,124.9112,Villa Bella
3,Rikitea,PF,overcast clouds,75.7,-23.1203,-134.9692,People ThankYou
6,Key West,US,scattered clouds,82.4,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
14,Baglung,NP,clear sky,83.28,28.2719,83.5898,Hotel Peace Palace
16,Kilindoni,TZ,moderate rain,79.88,-7.9139,39.6668,Bustani B&B
18,Mersing,MY,scattered clouds,85.91,2.4312,103.8405,Timotel Hotel
19,Georgetown,MY,scattered clouds,87.73,5.4112,100.3354,Cititel Penang
22,Avarua,CK,broken clouds,82.45,-21.2078,-159.775,Paradise Inn
26,Mahebourg,MU,scattered clouds,75.49,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Alofi,NU,overcast clouds,78.69,-19.0595,-169.9187,Taloa Heights
36,Casa Nova,BR,light rain,75.34,-9.4167,-41.1333,LÔRO BEACH. DUNAS
37,Isangel,VU,overcast clouds,78.24,-19.55,169.2667,Tanna Lodge
46,Port-Gentil,GA,overcast clouds,80.67,-0.7193,8.7815,Fengshui Residence
48,Davila,PH,scattered clouds,89.58,18.4726,120.5763,Blue Ridge Beach Resort
49,Neiafu,TO,moderate rain,76.33,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
51,Boyolangu,ID,broken clouds,86.11,-8.1181,111.8935,Yos ega cv
52,Hithadhoo,MV,overcast clouds,84.65,-0.6,73.0833,Scoop Guest House
60,Bengkulu,ID,overcast clouds,81.34,-3.8004,102.2655,Grage Hotel Bengkulu
61,Yulara,AU,broken clouds,78.64,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
62,Hirara,JP,scattered clouds,84.47,24.8,125.2833,Hotel Atoll Emerald Miyakojima
73,Kapaa,US,broken clouds,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Cayenne,GF,clear sky,77.09,4.9333,-52.3333,Hôtel Le Dronmi
78,Sandakan,MY,scattered clouds,85.68,5.8402,118.1179,Hotel Sandakan
80,Acarau,BR,broken clouds,77.76,-2.8856,-40.12,castelo pizzaria
82,Marana,US,clear sky,85.35,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
83,Imphal,IN,mist,76.91,24.8167,93.95,State Guest House
85,Sandur,IN,scattered clouds,87.15,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
99,Lorengau,PG,few clouds,83.26,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Palau,PW,broken clouds,82.36,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
105,Carnarvon,AU,scattered clouds,75.27,-24.8667,113.6333,Hospitality Carnarvon
106,Port Blair,IN,broken clouds,87.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
107,Bambous Virieux,MU,light rain,75.45,-20.3428,57.7575,Casa Tia Villa
108,Atuona,PF,light rain,78.94,-9.8,-139.0333,Villa Enata
115,Butaritari,KI,light rain,80.62,3.0707,172.7902,Isles Sunset Lodge
117,Marawi,PH,overcast clouds,81.64,7.9986,124.2928,Derogongan Residence
124,Kuching,MY,scattered clouds,82.62,1.55,110.3333,Hilton Kuching
126,Phan Thiet,VN,broken clouds,88.88,10.9333,108.1,Hotel Saigon-PT
135,Arlit,NE,clear sky,78.69,18.7369,7.3853,Case de Passage De la Prefecture
136,Samarai,PG,broken clouds,86.27,-10.6167,150.6667,Nuli Sapi
150,Souillac,MU,scattered clouds,75.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Gizo,SB,light rain,84.79,-8.103,156.8419,Imagination Island
152,Faanui,PF,few clouds,81.91,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Kahului,US,scattered clouds,80.62,20.8947,-156.47,Maui Seaside Hotel
155,Camocim,BR,few clouds,75.85,-2.9022,-40.8411,Ilha Praia Hotel
161,Ibra,OM,clear sky,79.81,22.6906,58.5334,مزرعة راحة النفوس المنزفة
173,Kadoma,JP,broken clouds,78.78,34.7333,135.5833,Hotel Agora Osaka Moriguchi
175,Villa Bruzual,VE,overcast clouds,78.26,9.3328,-69.1208,hotel italia
179,Ambon,ID,scattered clouds,87.94,-3.6954,128.1814,Swiss-Belhotel Ambon
180,Lasem,ID,overcast clouds,84.83,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
186,Hambantota,LK,few clouds,82.81,6.1241,81.1185,Bungalow 63
188,Mino,JP,broken clouds,78.03,34.8269,135.4706,Mino'o Kanko Hotel
196,Udalguri,IN,clear sky,82.99,26.7667,92.1333,TREBLA
211,Salalah,OM,scattered clouds,80.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
214,Ugoofaaru,MV,scattered clouds,84.38,5.6667,73.0,Ungoofaaru Inn
229,Moerai,PF,light rain,80.01,-22.4333,-151.3333,Le Manotel
230,Xinzhi,CN,clear sky,82.98,36.4989,111.7047,Mingyue Hotel
234,Umm Lajj,SA,clear sky,75.99,25.0213,37.2685,Moon light Furnished Units
235,Oistins,BB,broken clouds,77.09,13.0667,-59.5333,Butterfly Beach Hotel
237,Bathsheba,BB,broken clouds,77.61,13.2167,-59.5167,Atlantis Hotel
239,Lang Son,VN,broken clouds,84.96,21.8333,106.7333,Khai Nga Hotel
242,Dabakala,CI,scattered clouds,76.82,8.3667,-4.4333,Hôtel Campement
250,Brazzaville,CG,overcast clouds,75.56,-4.2658,15.2832,Hotel Muesse
255,Phangnga,TH,broken clouds,89.64,8.4509,98.5298,Sunimit Mansion
256,Sinnamary,GF,overcast clouds,77.95,5.3833,-52.95,ALETHEIA Appartement Sinnamary
267,Morant Bay,JM,scattered clouds,78.42,17.8815,-76.4093,Whispering Bamboo Cove Resort
269,Kirakira,SB,overcast clouds,84.56,-10.4544,161.9205,SanBiz Lodge
272,Acapulco,MX,clear sky,78.62,16.8634,-99.8901,HS Hotsson Smart Acapulco
276,Gigmoto,PH,broken clouds,84.69,13.7796,124.39,Cj's Travellers Inn
277,Pringsewu,ID,overcast clouds,86.92,-5.3582,104.9744,Urban Style by Front One
278,Road Town,VG,clear sky,75.29,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
279,Tura,IN,clear sky,84.38,25.5198,90.2201,Hotel RIKMAN Continental
281,Itarema,BR,overcast clouds,77.61,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
284,Kaduna,NG,overcast clouds,77.45,10.5222,7.4383,HAMDALA HOTEL
288,Kupang,ID,overcast clouds,84.7,-10.1667,123.5833,Hotel On The Rock by Prasanthi
291,Bandarbeyla,SO,broken clouds,80.85,9.4942,50.8122,JABIR HOTEL
298,Cockburn Town,TC,scattered clouds,76.53,21.4612,-71.1419,Osprey Beach Hotel
300,Karratha,AU,overcast clouds,85.57,-20.7377,116.8463,ibis Styles Karratha
301,Galesong,ID,overcast clouds,87.82,-5.3166,119.3661,Sapriadi Appy
302,Saint-Georges,GD,few clouds,78.48,12.0564,-61.7485,Radisson Grenada Beach Resort
304,Maceio,BR,broken clouds,76.44,-9.6658,-35.7353,Hotel Ponta Verde Maceió
308,Bambanglipuro,ID,broken clouds,86.43,-7.95,110.2833,Puri Brata
309,Cabimas,VE,overcast clouds,80.4,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
310,Naze,JP,scattered clouds,79.72,28.3667,129.4833,Shishime Hotel
332,Hanzhong,CN,overcast clouds,75.87,33.0728,107.0303,Guorui Hotel
337,Bam,IR,broken clouds,82.09,29.106,58.357,Bam Tourist Hotel
338,Labuhan,ID,broken clouds,84.69,-6.8844,112.2051,DoubleFAG
351,Cravo Norte,CO,broken clouds,81.86,6.3017,-70.2041,Hotel Potosí Los Mirtos
355,Rajauri,IN,clear sky,80.19,33.3833,74.3,Hotel Ashoka
360,Sur,OM,clear sky,88.12,22.5667,59.5289,Sur Plaza Hotel
361,Soure,BR,overcast clouds,78.69,-0.7167,-48.5233,Casarão da Amazônia
363,Gombong,ID,overcast clouds,88.57,-7.6072,109.5142,Grafika Hotel Dan Restoran
364,Auki,SB,broken clouds,84.04,-8.7676,160.7034,Auki Motel
367,Loanda,AO,scattered clouds,75.2,-8.8368,13.2343,EPIC SANA Luanda
377,La Palma,US,broken clouds,80.91,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
378,Morondava,MG,moderate rain,77.88,-20.2833,44.2833,La Case Bambou
383,The Valley,AI,clear sky,77.09,18.217,-63.0578,CeBlue Villas & Beach Resort
