,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,81.28,80,100,6.91,overcast clouds
1,Nipawin,CA,53.3668,-104.0009,30.24,59,0,4.61,clear sky
2,Tondano,ID,1.3038,124.9112,78.89,70,47,0.67,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,75.7,75,97,16.93,overcast clouds
4,San Patricio,US,28.017,-97.5169,74.89,90,100,11.12,overcast clouds
5,Bluff,NZ,-46.6,168.3333,52.81,81,100,25.46,overcast clouds
6,Key West,US,24.5557,-81.7826,82.4,65,40,17.27,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,52.29,84,5,3.56,clear sky
8,Jamestown,US,42.097,-79.2353,55.04,77,100,10.36,mist
9,Saint-Pierre,RE,-21.3393,55.4781,73.9,73,0,9.22,clear sky
10,Foggia,IT,41.45,15.5333,47.98,93,0,3.44,clear sky
11,Clyde River,CA,70.4692,-68.5914,8.83,92,100,20.71,light snow
12,Faya,SA,18.3851,42.4509,54.12,55,0,2.1,clear sky
13,Port Alfred,ZA,-33.5906,26.891,57.29,80,4,11.1,clear sky
14,Baglung,NP,28.2719,83.5898,83.28,19,0,3.47,clear sky
15,Stolbovaya,RU,55.2528,37.4853,51.82,93,77,4.18,broken clouds
16,Kilindoni,TZ,-7.9139,39.6668,79.88,83,69,10.4,moderate rain
17,Ushtobe,KZ,45.2514,77.9838,47.93,59,5,1.95,clear sky
18,Mersing,MY,2.4312,103.8405,85.91,84,40,0.0,scattered clouds
19,Georgetown,MY,5.4112,100.3354,87.73,78,40,8.05,scattered clouds
20,Busselton,AU,-33.65,115.3333,67.89,50,49,16.87,scattered clouds
21,Saint George,US,37.1041,-113.5841,72.19,12,0,4.61,clear sky
22,Avarua,CK,-21.2078,-159.775,82.45,78,75,8.05,broken clouds
23,Ushuaia,AR,-54.8,-68.3,40.66,70,40,17.27,scattered clouds
24,Saint-Philippe,RE,-21.3585,55.7679,71.22,76,35,11.97,scattered clouds
25,Aklavik,CA,68.2191,-135.0107,32.77,100,100,6.53,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,75.49,78,40,13.8,scattered clouds
27,Upernavik,GL,72.7868,-56.1549,11.55,87,68,4.79,broken clouds
28,Guiberoua,CI,6.2392,-6.1727,71.65,92,49,2.68,scattered clouds
29,Nouadhibou,MR,20.931,-17.0347,64.38,94,20,6.91,few clouds
30,Albany,US,42.6001,-73.9662,55.63,47,97,4.0,overcast clouds
31,La Chaux-De-Fonds,CH,47.0999,6.8259,41.54,100,100,3.44,overcast clouds
32,Umm Kaddadah,SD,13.6017,26.6876,79.9,13,100,8.19,overcast clouds
33,Alofi,NU,-19.0595,-169.9187,78.69,94,100,9.22,overcast clouds
34,Borogontsy,RU,62.6683,131.1683,29.34,63,95,6.78,overcast clouds
35,Hasaki,JP,35.7333,140.8333,72.28,83,100,18.84,overcast clouds
36,Casa Nova,BR,-9.4167,-41.1333,75.34,72,35,19.77,light rain
37,Isangel,VU,-19.55,169.2667,78.24,65,100,16.62,overcast clouds
38,Krasnoselkup,RU,65.7,82.4667,16.77,85,94,4.32,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,10.36,clear sky
40,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,87,20,6.22,few clouds
41,Nanortalik,GL,60.1432,-45.2371,32.36,97,96,6.55,overcast clouds
42,Tomball,US,30.0972,-95.6161,64.31,92,100,3.44,overcast clouds
43,Zarinsk,RU,53.7074,84.9493,45.19,52,6,3.76,clear sky
44,Ixtapa,MX,20.7,-105.2,74.43,83,0,4.61,clear sky
45,Ponta Do Sol,PT,32.6667,-17.1,59.72,74,23,10.96,few clouds
46,Port-Gentil,GA,-0.7193,8.7815,80.67,82,98,7.85,overcast clouds
47,Lima,PE,-12.0432,-77.0282,67.89,77,0,10.36,clear sky
48,Davila,PH,18.4726,120.5763,89.58,68,33,8.59,scattered clouds
49,Neiafu,TO,-18.65,-173.9833,76.33,90,97,28.86,moderate rain
50,Tuatapere,NZ,-46.1333,167.6833,55.6,70,51,9.95,broken clouds
51,Boyolangu,ID,-8.1181,111.8935,86.11,68,68,4.05,broken clouds
52,Hithadhoo,MV,-0.6,73.0833,84.65,72,100,6.62,overcast clouds
53,Airai,TL,-8.9266,125.4092,75.34,38,99,1.74,overcast clouds
54,Vaini,TO,-21.2,-175.2,69.96,88,100,9.22,moderate rain
55,Mataura,NZ,-46.1927,168.8643,52.48,76,71,9.42,broken clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,73.62,76,23,7.07,few clouds
57,Svetlogorsk,BY,52.6333,29.7333,46.74,96,100,7.16,overcast clouds
58,Verkhniy Rohachyk,UA,47.2505,34.338,50.85,82,0,4.72,clear sky
59,Chokurdakh,RU,70.6333,147.9167,14.31,86,19,3.67,few clouds
60,Bengkulu,ID,-3.8004,102.2655,81.34,70,100,3.89,overcast clouds
61,Yulara,AU,-25.2406,130.9889,78.64,36,71,8.05,broken clouds
62,Hirara,JP,24.8,125.2833,84.47,79,40,19.57,scattered clouds
63,Hermanus,ZA,-34.4187,19.2345,54.99,78,0,6.44,clear sky
64,College,US,64.8569,-147.8028,53.92,38,75,3.44,broken clouds
65,Zacualpan,MX,21.25,-105.1667,72.91,80,0,2.71,clear sky
66,Port Lincoln,AU,-34.7333,135.8667,66.24,72,80,16.4,broken clouds
67,Nueve De Julio,AR,-35.4444,-60.8831,55.89,56,0,8.5,clear sky
68,Norman Wells,CA,65.282,-126.8329,35.56,96,100,5.55,overcast clouds
69,Lazaro Cardenas,MX,17.9583,-102.2,74.73,75,7,3.69,clear sky
70,Flinders,AU,-34.5833,150.8552,69.39,78,100,7.0,light rain
71,Ouallam,NE,14.3188,2.0866,81.05,15,35,10.45,scattered clouds
72,Toccoa,US,34.5773,-83.3324,71.38,83,0,0.0,clear sky
73,Kapaa,US,22.0752,-159.319,82.38,82,75,14.97,broken clouds
74,Mushie,CD,-3.0167,16.9,73.65,91,100,2.15,overcast clouds
75,High Level,CA,58.5169,-117.136,51.91,43,75,11.5,light rain
76,Kodiak,US,57.79,-152.4072,45.91,66,100,6.91,overcast clouds
77,Cayenne,GF,4.9333,-52.3333,77.09,1,0,0.0,clear sky
78,Sandakan,MY,5.8402,118.1179,85.68,79,40,4.61,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,41.56,60,100,8.05,overcast clouds
80,Acarau,BR,-2.8856,-40.12,77.76,86,66,10.25,broken clouds
81,San Cristobal,VE,7.7669,-72.225,68.18,91,94,1.41,overcast clouds
82,Marana,US,32.4367,-111.2254,85.35,9,0,6.91,clear sky
83,Imphal,IN,24.8167,93.95,76.91,73,40,0.0,mist
84,Ilulissat,GL,69.2167,-51.1,21.22,86,100,0.0,overcast clouds
85,Sandur,IN,15.1,76.55,87.15,47,49,4.74,scattered clouds
86,Hofn,IS,64.2539,-15.2082,39.15,97,100,6.46,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,60.91,73,63,15.01,broken clouds
88,Zyryanka,RU,65.75,150.85,21.49,78,100,13.71,overcast clouds
89,Cherskiy,RU,68.75,161.3,30.31,74,100,6.78,overcast clouds
90,Olafsvik,IS,64.8945,-23.7142,41.86,81,91,3.58,overcast clouds
