City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-04-13 19:26:13,38.5167,-28.7,63.0,72,20,24.16
1,Ocos,GT,2022-04-13 19:26:13,14.5094,-92.1933,91.58,60,9,12.82
2,Punta Arenas,CL,2022-04-13 19:22:25,-53.15,-70.9167,57.31,62,40,23.02
3,Belyy Yar,RU,2022-04-13 19:26:14,53.6039,91.3903,25.86,64,0,2.24
4,Natchez,US,2022-04-13 19:25:25,31.5604,-91.4032,82.62,74,75,24.16
5,Pisco,PE,2022-04-13 19:24:55,-13.7,-76.2167,69.03,73,0,8.05
6,Kapaa,US,2022-04-13 19:25:24,22.0752,-159.319,78.78,84,75,11.5
7,Yellowknife,CA,2022-04-13 19:26:14,62.456,-114.3525,15.3,58,20,6.91
8,Constitucion,CL,2022-04-13 19:26:15,-35.3333,-72.4167,64.44,48,0,14.12
9,Atar,MR,2022-04-13 19:26:15,20.5169,-13.0499,88.41,9,0,13.0
10,Vaini,TO,2022-04-13 19:26:15,-21.2,-175.2,77.16,94,40,5.75
11,Nome,US,2022-04-13 19:26:16,64.5011,-165.4064,37.47,60,0,11.5
12,Buala,SB,2022-04-13 19:26:16,-8.145,159.5921,79.65,78,15,6.53
13,Kutum,SD,2022-04-13 19:26:16,14.2,24.6667,78.73,12,0,8.32
14,Ushuaia,AR,2022-04-13 19:26:17,-54.8,-68.3,55.06,67,20,16.11
15,Hilo,US,2022-04-13 19:26:17,19.7297,-155.09,80.28,78,100,4.61
16,Valley City,US,2022-04-13 19:26:17,46.9233,-98.0032,30.72,86,100,24.16
17,Port Elizabeth,ZA,2022-04-13 19:26:18,-33.918,25.5701,64.09,88,40,13.8
18,Souillac,MU,2022-04-13 19:26:18,-20.5167,57.5167,77.38,88,40,16.11
19,Noshiro,JP,2022-04-13 19:26:18,40.2039,140.0242,43.36,74,100,4.07
20,Barao De Melgaco,BR,2022-04-13 19:26:18,-16.1944,-55.9675,91.18,49,89,4.68
21,Rikitea,PF,2022-04-13 19:26:19,-23.1203,-134.9692,78.75,68,14,16.75
22,Bluff,NZ,2022-04-13 19:26:19,-46.6,168.3333,43.81,85,100,14.7
